threshold,female_fmr,male_fmr,female_fnmr,male_fnmr,female_tar,male_tar,female_accuracy,male_accuracy,fmr_disparity,fnmr_disparity,tar_disparity,accuracy_disparity
0.27,0.024509803921568627,0.02631578947368421,0.2551020408163265,0.24848484848484853,0.7448979591836735,0.7515151515151515,0.8393574297188755,0.7931034482758621,0.001805985552115582,0.00661719233147795,0.00661719233147795,0.0462539814430134
0.28,0.024509803921568627,0.02631578947368421,0.26190476190476186,0.2545454545454545,0.7380952380952381,0.7454545454545455,0.8353413654618473,0.7881773399014779,0.001805985552115582,0.007359307359307343,0.007359307359307343,0.04716402556036947
0.29000000000000004,0.024509803921568627,0.02631578947368421,0.26530612244897955,0.2606060606060606,0.7346938775510204,0.7393939393939394,0.8333333333333334,0.7832512315270936,0.001805985552115582,0.0047000618429189345,0.0047000618429189345,0.05008210180623973
0.30000000000000004,0.024509803921568627,0.02631578947368421,0.282312925170068,0.2666666666666667,0.717687074829932,0.7333333333333333,0.8232931726907631,0.7783251231527094,0.001805985552115582,0.01564625850340129,0.01564625850340129,0.04496804953805367
0.31000000000000005,0.024509803921568627,0.02631578947368421,0.2891156462585034,0.2727272727272727,0.7108843537414966,0.7272727272727273,0.8192771084337349,0.7733990147783252,0.001805985552115582,0.016388373531230682,0.016388373531230682,0.045878093655409735
0.32000000000000006,0.024509803921568627,0.0,0.30272108843537415,0.2727272727272727,0.6972789115646258,0.7272727272727273,0.8112449799196787,0.7783251231527094,0.024509803921568627,0.029993815708101446,0.029993815708101446,0.03291985676696929
0.33,0.0196078431372549,0.0,0.326530612244898,0.2787878787878788,0.673469387755102,0.7212121212121212,0.7991967871485943,0.7733990147783252,0.0196078431372549,0.04774273345701918,0.04774273345701918,0.025797772370269145
0.34,0.00980392156862745,0.0,0.3537414965986394,0.2848484848484848,0.6462585034013606,0.7151515151515152,0.7871485943775101,0.7684729064039408,0.00980392156862745,0.06889301175015461,0.06889301175015461,0.01867568797356922
0.35000000000000003,0.00980392156862745,0.0,0.3639455782312925,0.3090909090909091,0.6360544217687075,0.6909090909090909,0.7811244979919679,0.7487684729064039,0.00980392156862745,0.054854669140383394,0.054854669140383394,0.03235602508556401
0.36000000000000004,0.004901960784313725,0.0,0.3877551020408163,0.3151515151515152,0.6122448979591837,0.6848484848484848,0.7690763052208835,0.7438423645320197,0.004901960784313725,0.07260358688930113,0.07260358688930113,0.025233940688863865
0.37000000000000005,0.0,0.0,0.40476190476190477,0.32727272727272727,0.5952380952380952,0.6727272727272727,0.7610441767068273,0.7339901477832512,0.0,0.0774891774891775,0.0774891774891775,0.027054028923576112
0.38000000000000006,0.0,0.0,0.4387755102040817,0.35151515151515156,0.5612244897959183,0.6484848484848484,0.7409638554216867,0.7142857142857143,0.0,0.08726035868893012,0.08726035868893012,0.026678141135972444
0.39000000000000007,0.0,0.0,0.4659863945578231,0.35757575757575755,0.5340136054421769,0.6424242424242425,0.7248995983935743,0.7093596059113301,0.0,0.10841063698206554,0.10841063698206554,0.015539992482244247
0.4000000000000001,0.0,0.0,0.48639455782312924,0.38181818181818183,0.5136054421768708,0.6181818181818182,0.7128514056224899,0.6896551724137931,0.0,0.1045763760049474,0.1045763760049474,0.023196233208696793
0.4100000000000001,0.0,0.0,0.5136054421768708,0.4121212121212121,0.48639455782312924,0.5878787878787879,0.6967871485943775,0.6650246305418719,0.0,0.10148423005565865,0.10148423005565865,0.03176251805250563
0.42000000000000004,0.0,0.0,0.5442176870748299,0.4181818181818182,0.4557823129251701,0.5818181818181818,0.678714859437751,0.6600985221674877,0.0,0.12603586889301166,0.12603586889301172,0.01861633727026335
0.43000000000000005,0.0,0.0,0.564625850340136,0.4303030303030303,0.43537414965986393,0.5696969696969697,0.6666666666666666,0.6502463054187192,0.0,0.13432282003710572,0.13432282003710577,0.016420361247947435
0.44000000000000006,0.0,0.0,0.5850340136054422,0.4484848484848485,0.41496598639455784,0.5515151515151515,0.6546184738955824,0.6354679802955665,0.0,0.13654916512059367,0.13654916512059367,0.01915049360001586
0.45000000000000007,0.0,0.0,0.6122448979591837,0.4545454545454546,0.3877551020408163,0.5454545454545454,0.6385542168674698,0.6305418719211823,0.0,0.1576994434137291,0.1576994434137291,0.008012344946287553
0.4600000000000001,0.0,0.0,0.6360544217687074,0.48484848484848486,0.36394557823129253,0.5151515151515151,0.6244979919678715,0.6059113300492611,0.0,0.15120593692022255,0.1512059369202226,0.01858666191861036
